,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore
,AmbT_10m,AmbT_10m,CO,CO,NO,NO,NOy,NOy,O3,O3,PM10L,PM10L,PM25L,PM25L,RH,RH
,DEGC,DEGC,PPM,PPM,PPB,PPB,PPB,PPB,PPB,PPB,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,% RH,% RH
Date,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags
18-May-2024 19:00,17.8,,0.135,,0,,0,,41.5,,16,,5.5,,33.4,
18-May-2024 20:00,17.4,,0.138,,0,,0.3,,41.1,,17,,4.9,,33.1,
18-May-2024 21:00,16.5,,0.134,,-0.1,,0,,40.6,,9,,7,,32.9,
18-May-2024 22:00,16.1,,0.12,,-0.1,,-0.2,,42.7,,8,,4.8,,30.1,
18-May-2024 23:00,15.1,,0.113,,0,,-0.4,,44.3,,9,,2.6,,29.2,
19-May-2024 00:00,14.3,,0.104,,-0.2,,-0.9,,46,,11,,3.3,,29.1,
19-May-2024 01:00,12.5,,0.116,,-0.1,,-0.3,,44.4,,11,,5.8,,33.3,
19-May-2024 02:00,10.3,,0.119,,0,,5,,31.8,,9,,5.3,,48.3,
19-May-2024 03:00,8.2,,0.154,,4.3,,24.7,,10.5,,22,,6.9,,63,
19-May-2024 04:00,7.1,,0.146,,11.2,,31.8,,10,,10,,4,,61.4,
19-May-2024 05:00,8.2,,0.125,,4.4,,18.4,,21.2,,11,,2.9,,53,
19-May-2024 06:00,9.8,,0.119,,2.2,,10.4,,31.8,,16,,5.4,,43.8,
19-May-2024 07:00,11.1,,0.118,,0.6,,2.6,,37.8,,4,,3.4,,39.9,
19-May-2024 08:00,12.8,,0.11,,1.5,,5.4,,39.1,,7,,2.5,,32.6,
19-May-2024 09:00,14.3,,0.129,,1.8,,7,,40.6,,13,,2.8,,27.9,
19-May-2024 10:00,15.6,,0.114,,0.2,,0.5,,45.5,,10,,1.3,,25.9,
19-May-2024 11:00,17.1,,0.127,,0.1,,-0.1,,47.7,,16,,1.2,,22.4,
19-May-2024 12:00,18.1,,0.121,,0.1,,-0.3,,48.3,,11,,0.7,,21.2,
19-May-2024 13:00,18.5,,0.156,,0.7,,1.2,,44.1,,17,,0.3,,25.4,
19-May-2024 14:00,18.6,,0.149,,0.5,,2.2,,40.4,,11,,1.5,,27,
19-May-2024 15:00,18.9,,0.134,,0,,-0.3,,40.8,,10,,1.4,,27,
19-May-2024 16:00,19,,0.124,,0,,-0.7,,40.9,,18,,1.7,,27,
19-May-2024 17:00,18.7,,0.114,,-0.1,,-1,,43.1,,12,,1.6,,29.2,
19-May-2024 18:00,18.7,,0.123,,0,,-0.7,,42.4,,14,,3.6,,28.8,
19-May-2024 19:00,17.9,,0.109,,-0.1,,-0.4,,41.6,,43,,3.6,,30.4,
19-May-2024 20:00,17.1,,0.133,,0,,0.6,,40.4,,22,,4.3,,34.3,
19-May-2024 21:00,16.5,,0.143,,0,,2,,35.9,,15,,5.2,,36.3,
19-May-2024 22:00,14.5,,0.142,,0,,2.1,,32.1,,24,,5.7,,45.6,
19-May-2024 23:00,12.5,,0.154,,2,,17.5,,17.5,,31,,7.9,,53,
20-May-2024 00:00,11.4,,0.188,,0.2,,10.7,,,IE,10,,6.5,,52.2,
20-May-2024 01:00,9.5,,0.115,,0.3,,5.6,,27.5,,23,,3.8,,51.5,
20-May-2024 02:00,8.6,,,IE,0.1,,8.5,,22.4,,8,,4.9,,57.8,
20-May-2024 03:00,7,,0.124,,,IE,,IE,20.4,,11,,5.3,,61.7,
20-May-2024 04:00,5.8,,0.125,,1.7,,11.4,,16.4,,12,,4.2,,66.4,
20-May-2024 05:00,7.3,,0.161,,3.8,,16.5,,15.2,,36,,3.9,,61.3,
20-May-2024 06:00,9.3,,0.163,,4,,14.6,,21.5,,26,,6.3,,50.8,
20-May-2024 07:00,11.3,,0.113,,2,,6.2,,33.2,,19,,4.2,,39.2,
20-May-2024 08:00,12,,0.109,,0.4,,0,,37.2,,9,,4.3,,36.9,
20-May-2024 09:00,12.9,,0.118,,0.6,,0.6,,37.1,,18,,3.5,,34.3,
20-May-2024 10:00,13.9,,0.119,,0.3,,-0.4,,38.8,,17,,2,,31.5,
20-May-2024 11:00,15.2,,0.118,,0.4,,0.6,,42,,17,,1.9,,25.1,
20-May-2024 12:00,16.4,,0.111,,0.1,,-0.3,,46.2,,12,,0.4,,20.1,
20-May-2024 13:00,,IE,,IE,,IE,,IE,,IE,18,,1.9,,,IE
20-May-2024 14:00,17.6,,0.117,,0.3,,0.2,,45.2,,17,,1.8,,17.1,
20-May-2024 15:00,18.1,,0.112,,0.4,,0,,45.9,,20,,2.2,,16.9,
20-May-2024 16:00,18.3,,0.103,,0,,-0.8,,47.3,,10,,3.9,,16.4,
20-May-2024 17:00,18.5,,0.113,,-0.1,,-1.2,,48.1,,24,,4.2,,16.6,
20-May-2024 18:00,18.4,,0.118,,0,,-1.3,,48.6,,8,,3.2,,16.5,
20-May-2024 19:00,18.1,,0.119,,0,,-0.7,,46.9,,6,,2.8,,16.1,
20-May-2024 20:00,17.3,,0.119,,-0.1,,-0.4,,42.6,,20,,2.2,,19.1,
20-May-2024 21:00,15.8,,0.119,,0,,0.6,,36.8,,13,,1.6,,25.7,
20-May-2024 22:00,13.4,,0.125,,0,,3.4,,30.6,,55,,3.3,,33.7,
20-May-2024 23:00,11.9,,0.138,,0,,2.8,,29,,45,,2.8,,39.1,
21-May-2024 00:00,11.4,,0.117,E,0,E,3,E,28.8,E,39,,2.6,,40.5,
21-May-2024 01:00,8,,0.15,,3.9,,20.2,,10.6,,38,,8,,56,
21-May-2024 02:00,6.3,,0.161,,3.1,,21.1,,6.7,,20,,5.2,,63,
21-May-2024 03:00,6.2,,0.154,,1.9,,17.1,,9.5,,16,,3.1,,65.7,
21-May-2024 04:00,4.7,,0.144,,28.8,,47.6,,5.3,,20,,5.6,,67.7,
21-May-2024 05:00,6.3,,0.177,,6.7,,19.7,,11.9,,20,,3.3,,59.5,
21-May-2024 06:00,8.2,,0.143,,0.7,,2.4,,28.1,,15,,0.4,,48.9,
21-May-2024 07:00,10.9,,0.13,,0.1,,-0.2,,33.4,,16,,1.5,,40.6,
21-May-2024 08:00,13,,0.127,,0.1,,-0.7,,35.5,,16,,1.9,,35.5,
21-May-2024 09:00,15.1,,0.121,,0.2,,-0.4,,37.1,,11,,2.9,,32.9,
21-May-2024 10:00,16.9,,0.13,,0.1,,-0.3,,38,,15,,1.4,,30.6,
21-May-2024 11:00,18.6,,0.129,,0.4,,0.8,,39.9,,18,,-1,,27.2,
21-May-2024 12:00,19.7,E,0.12,E,0.2,E,0.2,E,42.3,E,32,,-0.9,,23.9,E
21-May-2024 13:00,20.1,,0.122,,0.1,,0.3,,41.3,,38,,1.1,,24.2,
21-May-2024 14:00,20.5,,0.129,,0.1,,0.3,,42.9,,117,,5.9,,22.7,
21-May-2024 15:00,20.1,,0.131,,0.2,,0.7,,42.4,,,IE,10.9,,23.8,
21-May-2024 16:00,18.5,,0.115,,0.1,,0.1,,40.8,,28,,8.2,,30,
21-May-2024 17:00,17.6,,0.118,,0,,-0.1,,40,,17,,4.3,,32.8,
21-May-2024 18:00,17.2,,0.121,,0,,-0.3,,43,,17,,1.2,,35.4,
21-May-2024 19:00,16.5,,0.102,,0,,-0.7,,41.5,,9,,1.5,,37.1,
21-May-2024 20:00,16,,0.115,,0,,3.6,,34.9,,23,,2.1,,38.5,
21-May-2024 21:00,15.5,,0.118,,0,,1,,36.8,,15,,3,,38.7,
21-May-2024 22:00,14.4,,0.12,,-0.1,,-0.6,,38.8,,13,,2.4,,40.6,
21-May-2024 23:00,13,,0.114,,-0.2,,-1.3,,41.5,,13,,4.1,,42.7,
22-May-2024 00:00,12.6,,0.134,,0,,-0.4,,41,,19,,9,,43.4,
22-May-2024 01:00,12.3,,0.112,,-0.1,,-1,,41.5,,20,,6.2,,43.8,
22-May-2024 02:00,11.7,,0.104,,-0.1,,-0.3,,39.4,,42,,3.6,,46.5,
22-May-2024 03:00,10.9,,0.102,,0,,1.8,,33.6,,16,,-0.3,,50.3,
22-May-2024 04:00,10.5,,0.117,,0,,2.4,,31.2,,7,,5.3,,53.4,
22-May-2024 05:00,10.6,,0.125,,0.1,,1.4,,32,,16,,5,,54.4,
22-May-2024 06:00,11.2,,0.123,,0.6,,3.2,E,34.4,,19,,1.8,,49.3,
22-May-2024 07:00,12,,0.105,,0.3,,0.5,,39.5,,7,,0.8,,43.4,
22-May-2024 08:00,12.6,,0.119,,0.3,,0.6,,39.9,,12,,1.7,,42.4,
22-May-2024 09:00,13.3,E,0.109,E,0.3,E,0,E,41.7,E,15,,1,,40.2,E
22-May-2024 10:00,,IE,,IE,,IE,,IE,,IE,18,,4.8,,,IE
22-May-2024 11:00,15.2,E,0.138,E,0.2,E,0.3,E,44.9,E,17,,,IE,34.1,E
22-May-2024 12:00,15.7,,0.118,,0.1,,0.6,,46.4,,13,,-2.1,,33.5,
22-May-2024 13:00,15.6,,0.112,,0,E,-0.1,E,46,,19,,0.6,,34.5,
22-May-2024 14:00,15.5,,0.111,,-0.1,E,-0.6,E,45,,17,,2.3,,35.8,
22-May-2024 15:00,16.4,,0.109,,0.1,,-0.2,,49.1,,12,,1.8,,30.2,
22-May-2024 16:00,17.4,,0.103,,0,,-0.5,,52.3,,16,,0.5,,25.3,
22-May-2024 17:00,17.1,,0.106,,0,,-0.8,,47.9,,20,,1.5,,29.6,
22-May-2024 18:00,16.1,,0.095,,0,,-1.2,,43.6,,17,,0.9,,37.4,
22-May-2024 19:00,14.9,,0.094,,0,,-1.1,,43.2,,12,,-0.9,,42,
22-May-2024 20:00,13.9,,0.1,,-0.1,,-1,,42.8,,15,,5.4,,47.8,
22-May-2024 21:00,12.8,,0.104,,0,,-1.2,,38.4,,31,,4.2,,56.8,
22-May-2024 22:00,11.6,,0.103,,0,,-1,,35,,23,,-0.1,,62.8,
22-May-2024 23:00,10.4,,0.096,,-0.1,,-1.4,,36.8,,8,,-0.7,,63.8,
23-May-2024 00:00,9.7,,0.107,,-0.2,,-1.8,,,IE,5,,3.1,,64,
23-May-2024 01:00,8.9,,0.115,,-0.1,,-1.2,,40.1,,5,,4.6,,67.6,
23-May-2024 02:00,8.3,,,IE,0,,-0.9,,38.2,,5,,4.1,,71.9,
23-May-2024 03:00,7.6,,0.116,,,IE,,IE,35.1,,3,,1.1,,76.2,
23-May-2024 04:00,6.9,,0.149,,0,,0.5,,29.8,,6,,2.2,,81.8,
23-May-2024 05:00,6.6,,0.149,,1.2,,5.1,,24.6,,10,,2.1,,83.2,
23-May-2024 06:00,7,,0.173,,2.8,,12.3,,19.1,,38,,0.2,,80.5,
23-May-2024 07:00,7.8,,0.147,,1.1,,3.5,,26.5,,15,,0.8,,75.1,
23-May-2024 08:00,9,,,IE,0.4,,0,,28.8,,8,,4.6,,68.5,
23-May-2024 09:00,10.1,,0.097,E,0.1,,-0.7,,30.2,,9,,1.6,,65.1,
23-May-2024 10:00,11.2,,0.106,,0.2,,-0.3,,30.5,,9,,4.5,,61.5,
23-May-2024 11:00,12.4,,0.107,,0.4,,0,,32.2,,10,,3.3,,55.1,
23-May-2024 12:00,13.2,,0.101,,0.2,,-0.4,,34.1,,9,,-1.2,,51.6,
23-May-2024 13:00,13.6,,0.103,,0.3,,0.5,,34.7,,22,,-0.8,,52.3,
23-May-2024 14:00,13.1,,0.136,,0.3,,1.7,,33.5,,6,,3.3,,59.8,
23-May-2024 15:00,13.1,,0.102,,0.3,,1.5,,33,,8,,4.2,,61,
23-May-2024 16:00,11.9,,0.148,,0.8,,4.1,,28.3,,12,,0.9,,78.1,
23-May-2024 17:00,12.4,,0.133,,0.6,,2.7,,30.4,,8,,0.7,,71.5,
23-May-2024 18:00,12.5,,0.116,,0,,-0.4,,32.4,,10,,3.5,,68.9,
23-May-2024 19:00,11.8,,0.124,,0,,0,,29.4,,5,,4.5,,76.4,
23-May-2024 20:00,10.3,,0.13,,0.1,,0.4,,25.2,,7,,4.1,,89.9,
23-May-2024 21:00,9.9,,0.178,,0.2,,0.6,,23.6,,9,,2.4,,92.3,
23-May-2024 22:00,9.7,,0.138,,,IE,,IE,21,,6,,2.2,,94,
23-May-2024 23:00,9.5,,0.134,,,IE,,IE,20.6,,2,,5.5,,94.4,
24-May-2024 00:00,9.2,,0.143,,0.3,,2,,15.9,,2,,4.1,,97.4,
24-May-2024 01:00,8.7,,0.129,,0.1,,1.5,,18.7,,5,,2.1,,98.4,
24-May-2024 02:00,8.5,,0.131,,0,,-0.8,,21.6,,4,,3.2,,98.1,
24-May-2024 03:00,8.2,,0.139,,0,,0,,19.9,,3,,3.4,,98.7,
24-May-2024 04:00,8.2,,0.151,,0.1,,0.2,,18.2,,2,,2,,99.2,
24-May-2024 05:00,8.2,,0.155,,0.7,,2.6,,13.8,,6,,0.7,,99.7,
24-May-2024 06:00,8,,0.163,,1.1,,4.7,,13.9,,5,,4.9,,99.7,
24-May-2024 07:00,8.2,,0.17,,1.2,,5,,18.8,,16,,3,,99.1,
24-May-2024 08:00,8.6,,0.13,,0.3,,0,,24.8,,3,,2.5,,93.7,
24-May-2024 09:00,9.2,,0.109,,0.1,,-0.8,,30.2,,4,,4.1,,87.3,
24-May-2024 10:00,9.9,,0.116,,0.2,,-0.5,,34.3,,4,,1.9,,82.2,
24-May-2024 11:00,10.5,,0.116,,1.1,,3,,34.2,,8,,0.4,,78.2,
24-May-2024 12:00,11.1,,0.114,,0.3,,0.9,,36.5,,12,,4.8,,73.1,
24-May-2024 13:00,12,,0.12,,0.7,,1.4,,36.8,,10,,3.6,,67.6,
24-May-2024 14:00,13,,0.121,,2,,5.6,,35.8,,12,,0.9,,61.8,
24-May-2024 15:00,13.5,,0.12,,0.5,,1.2,,37.3,,9,,1.3,,63.1,
24-May-2024 16:00,13,,0.103,,0.3,,0,,33.9,,11,,-0.6,,66.8,
24-May-2024 17:00,13.2,,0.101,,0.1,,-0.5,,33.6,,11,,1.5,,66.2,
24-May-2024 18:00,11.9,,0.109,,0.1,,0.2,,28,,9,,2.9,,77.9,
24-May-2024 19:00,12.1,,0.123,,0.1,,0.5,,25,,7,,0.9,,79.3,
24-May-2024 20:00,11.7,,0.115,,0,,-0.3,,28.9,,4,,-0.3,,76.1,
24-May-2024 21:00,10.4,,0.124,,0.1,,0.2,,25,,3,,6,,86.4,
24-May-2024 22:00,10.2,,0.124,,0.2,,0.6,,19.3,,8,,3.4,,89.4,
24-May-2024 23:00,9.7,,0.124,,0.5,,4.3,,13.2,,6,,1,,92.7,
25-May-2024 00:00,9.3,,0.113,,0.3,,2.6,,13.6,,3,,1.2,,93.6,
25-May-2024 01:00,8.9,,0.133,,0.2,,1.7,,12.6,,1,,0.9,,94.3,
25-May-2024 02:00,8.6,,0.139,,0.9,,6.4,,10.9,,3,,1.1,,95.8,
25-May-2024 03:00,8.5,,0.141,,0.9,,2.7,,12.7,,10,,3,,96.5,
25-May-2024 04:00,8.3,,0.159,,0.6,,1.6,,13.4,,9,,3.4,,96.9,
25-May-2024 05:00,8.2,,0.152,,0.4,,0.4,,12.1,,6,,1.9,,93.7,
25-May-2024 06:00,8.3,,0.143,,0.2,,0,,18.1,,3,,0.3,,86.7,
25-May-2024 07:00,8,,0.132,,0,,-0.7,,20,,2,,3.9,,83.8,
25-May-2024 08:00,7.5,,0.109,,0,,-1.6,,16.2,,1,,4.2,,90.1,
25-May-2024 09:00,7.3,,0.113,,0.1,,-1,,19.8,,-2,,0.8,,87.7,
25-May-2024 10:00,7.2,,0.115,,0.4,,0,,19,,3,,1.5,,87.7,
25-May-2024 11:00,7.5,,0.128,,0.3,,-0.6,,21,,4,,1.4,,86.1,
25-May-2024 12:00,8.1,,0.128,,0.1,,-1,,23,,3,,-1.9,,83.3,
25-May-2024 13:00,9.1,,0.126,,0.1,,-0.9,,24.6,,9,,-1,,76.2,
25-May-2024 14:00,9.9,,0.108,,0.1,,-1.1,,23.2,,13,,2.1,,69.6,
25-May-2024 15:00,10.5,,0.101,,0.4,,-0.8,,22.4,,6,,3.4,,65.9,
25-May-2024 16:00,11.2,,0.095,,0.5,,-0.2,,22.2,,18,,2.4,,63.5,
25-May-2024 17:00,11.5,,0.089,,0.1,,-1.3,,22.5,,8,,1.1,,60.4,
25-May-2024 18:00,12,,0.096,,0,,-1.2,,24.3,,5,,1.4,,52.2,
25-May-2024 19:00,11.2,,0.1,,0,,-1.1,,22.5,,6,,-0.9,,54.6,
25-May-2024 20:00,10.7,,0.098,,0,,-1.1,,21.7,,4,,0.1,,55.6,
25-May-2024 21:00,9.7,,0.092,,0,,-1.3,,21.3,,0,,0.7,,57,
25-May-2024 22:00,8.7,,0.088,,0.4,,1.7,,17.6,,5,,0.4,,61.7,
25-May-2024 23:00,8,,0.094,,0.1,,0.5,,17.8,,4,,3,,64.3,
26-May-2024 00:00,6.8,,0.105,,0.7,,3.1,,,IE,4,,1.8,,67.1,
26-May-2024 01:00,6.2,,0.117,,0,,-0.8,,19.7,,3,,0.8,,68.3,
26-May-2024 02:00,5.9,,,IE,0.1,,0,,18.8,,2,,0.7,,69.7,
26-May-2024 03:00,5.8,,0.118,,,IE,,IE,19,,2,,-0.4,,69.4,
26-May-2024 04:00,5.8,,0.109,,0.1,,-0.5,,18.6,,3,,-0.7,,69.8,
26-May-2024 05:00,6.2,,0.103,,0.9,,1.9,,17.8,,3,,-2.4,,67.2,
26-May-2024 06:00,7,,0.106,,1.1,,1.4,,18.3,,6,,-2.6,,63.9,
26-May-2024 07:00,8,,0.092,,1.2,,1.5,,18.5,,5,,0.7,,59.1,
26-May-2024 08:00,8.9,,0.079,,0.5,,-0.4,,19.9,,2,,1.5,,55.7,
26-May-2024 09:00,9.8,,0.081,,0.7,,0.5,,21.5,,2,,0.3,,54.4,
26-May-2024 10:00,10.4,,0.088,,0.5,,0.1,,24.1,,2,,0.3,,53.3,
26-May-2024 11:00,11.2,,0.097,,1.6,,2.6,,20.7,,2,,1,,54.2,
26-May-2024 12:00,12.2,,0.095,,1.7,,2.6,,23.7,,5,,-0.3,,50.8,
26-May-2024 13:00,13.5,,0.09,,0.8,,0.7,,26.7,,5,,-2.1,,48.3,
26-May-2024 14:00,14.1,,0.093,,0.8,,1.1,,27.7,,1,,1.3,,47.4,
26-May-2024 15:00,14.6,,0.098,,0.9,,1.2,,28.3,,4,,0.6,,45.7,
26-May-2024 16:00,14.8,,0.095,,0,,-0.3,,26.3,,7,,-1.4,,47.6,
26-May-2024 17:00,14.4,,0.096,,0,,-1,,24.5,,5,,0.9,,50.9,
26-May-2024 18:00,14.1,,0.094,,0.1,,-1,,26.6,,3,,1.5,,57,
26-May-2024 19:00,14.4,,0.099,,0,,-1.2,,27.5,,4,,1.4,,55.6,
26-May-2024 20:00,13.8,,0.109,,0,,-0.4,,25.8,,6,,3,,59.7,
26-May-2024 21:00,13,,0.119,,0.1,,0.8,,21.2,,10,,2.6,,65.7,
26-May-2024 22:00,11.9,,0.151,,0.3,,3.8,,15.3,,12,,2.6,,72.3,
26-May-2024 23:00,10,,0.148,,1.9,,7.5,,9.1,,14,,3,,80.1,
27-May-2024 00:00,9.4,,0.134,,2.6,,5.7,,4.6,,8,,3.8,,80.9,
27-May-2024 01:00,8.5,,0.118,,1,,0.8,,10.3,,5,,3.1,,82.7,
27-May-2024 02:00,7.6,,0.135,,0.2,,0.5,,9.9,,12,,7.3,,85.4,
27-May-2024 03:00,6.7,,0.13,,4.6,,9.5,E,3,,12,,4.7,,86.8,
27-May-2024 04:00,6.2,,0.122,,3.2,,5.5,,3.7,,9,,1.2,,87.7,
27-May-2024 05:00,6.9,,0.158,,4.3,,7,,3.5,,45,,16.9,,85.5,
27-May-2024 06:00,7.6,,0.157,,9.5,,14.4,,4.9,,11,,2.8,,82.5,
27-May-2024 07:00,9.2,,0.146,,4.7,,7,,10.2,,8,,2,,73.7,
27-May-2024 08:00,11,,0.133,,4.9,,7.6,,14.7,,11,,1.8,,65.4,
27-May-2024 09:00,12.7,,0.102,,1,,0.8,,17.8,,7,,3.3,,57.7,
27-May-2024 10:00,14.2,,0.102,,0.4,,-0.3,,19.3,,3,,1.1,,53.6,
27-May-2024 11:00,14.9,,0.108,,0.6,,-0.1,,18.5,,7,,1.8,,53.2,
27-May-2024 12:00,15.7,,0.122,,0.9,,0.6,,21,,10,,3.7,,46.8,
27-May-2024 13:00,15.9,,0.113,,1.5,,2.1,,22.3,,17,,1,,44.7,
27-May-2024 14:00,16.6,,0.117,,0.7,,0.2,,25.1,,12,,-0.3,,42.5,
27-May-2024 15:00,16.8,,0.132,,2.1,,3.2,,25.5,,12,,5.8,,41.4,
27-May-2024 16:00,16.8,,0.111,,1.8,,2.9,,26.1,,9,,5.3,,41.4,
27-May-2024 17:00,16.6,,0.099,,1.3,,1.4,,27.9,,7,,2.4,,41.5,
27-May-2024 18:00,16.6,,0.098,,0.9,,0.2,,27.6,,6,,1.4,,41.5,
27-May-2024 19:00,16,,0.097,,0.3,,0.6,,26.6,,8,,1.4,,42.7,
27-May-2024 20:00,15.3,,0.106,,0.5,,2.2,,25.8,,5,,-0.3,,44.6,
27-May-2024 21:00,14.4,,0.108,,1.1,,6.1,,20.8,,2,,1.2,,48.3,
27-May-2024 22:00,13.7,,0.104,,0,,0.3,,24.7,,8,,4.2,,51.7,
27-May-2024 23:00,12.2,,0.121,,1.5,,9.9,,14.6,,10,,2.9,,60.7,
28-May-2024 00:00,11,,0.137,,0.5,,9.9,,9.9,,10,,3.3,,68.4,
28-May-2024 01:00,9.5,,0.128,,0,,0.9,,11.5,,14,,4.6,,74.6,
28-May-2024 02:00,8.6,,0.124,,0.1,,1,,9.7,,12,,4.6,,78.8,
28-May-2024 03:00,6.8,,0.125,,1.2,,2,,6.7,,8,,4.8,,83.9,
28-May-2024 04:00,7,,0.143,,2.4,,4.4,,6.8,,9,,4,,82.9,
28-May-2024 05:00,8.3,,0.164,,1.1,,2,,11.4,,10,,4.8,,75.7,
28-May-2024 06:00,9.1,,0.164,,1,,2,,13.2,,15,,3,,74.7,
28-May-2024 07:00,10.2,,0.191,,4.6,,8.9,,11.9,,17,,0.3,,70.4,
28-May-2024 08:00,12.1,,0.162,,5,,9.4,,16.3,,19,,3.3,,60.2,
28-May-2024 09:00,14.2,,0.127,,,IE,,IE,21.8,,21,,3.8,,53,
28-May-2024 10:00,15.6,,0.122,,3.3,,9.2,,23.2,,12,,4.1,,45.5,
28-May-2024 11:00,16.1,,0.106,,1.5,,2.9,,32.1,,15,,2.1,,36.7,
28-May-2024 12:00,16.6,,0.116,,1.5,,2.7,,34.6,,7,,-0.1,,33.4,
28-May-2024 13:00,17,,0.108,,0.1,,-0.4,,34.7,,24,,3.1,,34.9,
28-May-2024 14:00,17.3,,0.111,,0.2,,-0.4,,35.1,,15,,3.4,,33.9,
28-May-2024 15:00,17.8,,0.107,,0,,-0.5,,37.2,,17,,1.8,,31.1,
28-May-2024 16:00,17.7,,0.103,,0.1,,-0.8,,35.6,,19,,2.4,,34.9,
28-May-2024 17:00,17.4,,0.109,,0,,-0.4,,34.5,,12,,1.8,,36.3,
28-May-2024 18:00,17.1,,0.125,,-0.1,,0.2,,32.3,,15,,1.3,,40.1,
28-May-2024 19:00,16.7,,0.136,,-0.1,,-0.3,,30.1,,9,,-0.8,,46.7,
28-May-2024 20:00,16.5,,0.112,,-0.1,,-0.8,,31.1,,6,,-2.2,,46.6,
28-May-2024 21:00,15.1,,0.122,,0,,-0.5,,28.9,,6,,0.7,,52.4,
28-May-2024 22:00,13.7,,0.121,,0,,0.9,,24.8,,10,,1.6,,60.9,
28-May-2024 23:00,12.5,,0.131,,0.3,,5.8,,16.4,,19,,6,,69.4,
29-May-2024 00:00,10.9,,0.153,,1.8,,13,,,IE,16,,5.5,,77.3,
29-May-2024 01:00,9.3,,0.159,,10.7,,23,,3.2,,17,,5.4,,83.3,
29-May-2024 02:00,7.7,,,IE,4.7,,13.7,,2.7,,16,,4.2,,88.1,
29-May-2024 03:00,7,,0.134,,,IE,,IE,2.5,,19,,4.9,,91,
29-May-2024 04:00,6.8,,0.139,,7.7,,13.6,,3,,22,,4.8,,88.1,
29-May-2024 05:00,8,,0.149,,10.2,,18.3,,5.9,,45,,4.3,,81,
29-May-2024 06:00,10.9,,0.149,,2.2,,6.3,,18.8,,15,,2.6,,69,
29-May-2024 07:00,12.2,,0.157,,1.5,,4.1,,22.9,,19,,1.1,,61,
29-May-2024 08:00,14.2,,0.149,,,IE,,IE,23.5,,15,,2.4,,57,
29-May-2024 09:00,16,,0.137,,,IE,,IE,27.3,,16,,4.9,,48.9,
29-May-2024 10:00,17.3,,0.122,,,IE,,IE,30.1,,5,,2.7,,42.3,
29-May-2024 11:00,18.2,,0.17,,,IE,,IE,32.4,,6,,-0.3,,37.5,
29-May-2024 12:00,19.2,,0.118,,,IE,,IE,33.9,,8,,-0.6,,34.8,
29-May-2024 13:00,18.5,,0.12,,,IE,,IE,33.6,,20,,0.1,,40.1,
29-May-2024 14:00,18.2,,0.126,,,IE,,IE,32.4,,11,,-1.9,,42.4,
29-May-2024 15:00,18.5,,0.137,,,IE,,IE,32.2,,13,,3.7,,37.9,
29-May-2024 16:00,19.1,,0.142,,,IE,,IE,31.4,,21,,4.2,,36.8,
29-May-2024 17:00,16.9,,0.137,,,IE,,IE,35.3,,26,,1.6,,46.8,
29-May-2024 18:00,16.2,,0.125,,,IE,,IE,36.8,,10,,2.8,,50,
29-May-2024 19:00,14.6,,0.137,,0.1,,0.1,,32,,11,,2.3,,64.7,
29-May-2024 20:00,12.6,,0.138,,0.1,,0.9,,24.7,,7,,3.7,,84.7,
29-May-2024 21:00,12,,0.143,,0.1,,1.4,,19.4,,10,,3.4,,89.4,
29-May-2024 22:00,11.7,,0.153,,0.2,,2.7,,15.1,,7,,1.9,,92.7,
29-May-2024 23:00,11,,0.167,,0.9,,4.1,,10,,3,,4.3,,94.9,
30-May-2024 00:00,10.1,,0.129,,0.5,,2.1,,9.9,,5,,4.6,,96.2,
30-May-2024 01:00,9.8,,0.141,,0.3,,3.3,,8.3,,9,,2.7,,96.5,
30-May-2024 02:00,9.4,,0.153,,0.7,,3.8,,5.2,,9,,3.1,,97.1,
30-May-2024 03:00,9.6,,0.141,,10,,18,,2.1,,13,,5.8,,96.1,
30-May-2024 04:00,9.7,,0.144,,3,,6.7,,4.4,,10,,8.2,,95.7,
30-May-2024 05:00,10,,0.138,,8.5,,13.2,,3.6,,15,,5.6,,94.5,
30-May-2024 06:00,10.9,,0.148,,2.2,,4.7,,12.8,,14,,2.8,,85.2,
30-May-2024 07:00,11.2,,0.124,,0.3,,0.2,,22.8,,9,,-0.4,,76.8,
30-May-2024 08:00,11.1,,0.11,,,IE,,IE,27.4,,6,,2.9,,74.2,
30-May-2024 09:00,11.3,,0.117,,,IE,,IE,27.9,,11,,2.9,,71.5,
30-May-2024 10:00,12,,0.123,,,IE,,IE,26.5,,7,,0.3,,68.7,
30-May-2024 11:00,12.8,,0.129,,,IE,,IE,28.6,,9,,2.5,,62.7,
30-May-2024 12:00,13.8,,0.11,,,IE,,IE,29.6,,7,,1.8,,54,
30-May-2024 13:00,14.5,,0.101,,,IE,,IE,30.5,,6,,-0.9,,48.9,
30-May-2024 14:00,15.3,,0.113,,2.2,,3,,29.2,,4,,1,,47.9,
30-May-2024 15:00,15.5,,0.122,,0.1,,-0.8,,31,,6,,-0.7,,46.7,
30-May-2024 16:00,15.4,,0.097,,0.9,,0.6,,30.5,,5,,-3.4,,47.3,
